NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
PURAK PARIK 2,150,1000,144,150,150,161,139,146,161,125,171,61,232,151,157,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 2,150,1000,144,150,150,199,111,150,150,150,150,150,150,223,223,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PURAK PARIK 2,150,1000,144,150,150,170,130,150,150,150,150,150,150,223,223,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PURAK PARIK 2,150,1000,144,150,150,216,91,150,150,150,150,150,150,70,70,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
