T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
100,2000,190,127,149,163,133,150,150,75,229,53,245,150,150,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,181,150,150,140,84,150,150,82,136,59,240,209,209,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
100,2000,181,150,150,219,162,150,150,143,205,59,240,209,209,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,181,150,150,140,84,150,150,94,164,59,240,209,209,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
