NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
SALAM PEMBUKA,200,500,143,127,150,216,94,150,150,150,150,236,55,150,150,241,113,180,180,184,175,209,150,114,245,144,215,184,175
SALAM PEMBUKA,200,500,-1,150,165,-1,-1,150,150,150,-1,55,234,150,150,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PEMBUKA,200,500,-1,152,150,-1,-1,150,-1,150,-1,150,150,61,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PEMBUKA,200,500,-1,154,135,-1,-1,150,-1,150,-1,293,6,137,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PEMBUKA,200,500,-1,127,150,-1,-1,150,-1,150,-1,293,6,65,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PEMBUKA,200,500,-1,156,150,-1,94,150,150,59,242,63,239,240,238,248,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PEMBUKA,200,500,-1,127,150,150,150,150,150,72,242,57,238,219,229,248,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
