T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
100,2000,192,123,149,175,150,173,150,93,150,181,150,149,160,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,193,123,149,171,150,193,150,34,150,150,150,150,160,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
100,2000,193,123,149,150,150,193,150,34,150,181,150,150,160,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,193,123,149,123,150,193,150,81,150,181,150,150,160,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
