T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
100,2000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,184,175,206,153,115,244,141,210,184,175
100,1000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,201,193,201,153,126,244,147,218,201,193
100,1000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,205,193,217,153,90,244,127,218,205,193
100,1000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,205,193,228,165,89,238,138,224,205,193
100,1000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,202,-1,215,-1,114,-1,150,-1,202,-1
