NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
NGASAI PURAK PARIK 1,150,1000,144,150,150,165,132,60,60,144,159,150,145,221,241,285,240,180,180,184,175,218,157,121,243,159,220,184,175
NGASAI PURAK PARIK 1,150,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,145,106,111,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,145,221,241,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,145,106,111,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,143,123,104,-1,-1,-1,-1,-1,-1,279,291,228,196,135,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,143,123,104,-1,-1,-1,-1,-1,-1,269,281,109,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,143,123,104,-1,-1,-1,-1,-1,-1,279,291,228,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI PURAK PARIK 1,150,1000,143,123,104,165,132,60,60,144,159,269,281,109,91,135,71,180,180,184,175,218,157,121,243,159,220,184,175
