T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
100,2000,181,150,150,150,150,60,60,175,125,150,150,210,90,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,181,150,150,150,130,60,60,140,175,150,210,100,210,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
100,2000,181,150,150,150,150,60,60,175,125,150,150,210,90,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,181,150,150,150,130,60,60,140,175,150,150,100,210,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
