NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
NGAJAT CEPAT,200,1000,144,150,149,195,106,150,150,150,150,150,150,219,206,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT CEPAT,200,1000,144,-1,-1,195,106,-1,-1,106,196,83,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGAJAT CEPAT,200,1000,-1,-1,-1,143,157,-1,-1,106,-1,-1,216,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGAJAT CEPAT,200,1000,-1,-1,-1,191,149,-1,-1,150,215,53,244,127,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGAJAT CEPAT,200,1000,-1,150,-1,191,149,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGAJAT CEPAT,200,1000,-1,150,149,143,95,150,150,91,150,56,216,95,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
