NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
BERDIRI,100,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,184,175,209,150,114,245,144,215,184,175
MIRING KIRI,100,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,204,196,207,147,124,245,152,212,204,196
ANGKAT KAKI KANAN,100,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,208,196,225,147,89,245,134,212,208,196
KAKI KANAN MAJU,100,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,208,196,235,157,91,243,146,220,208,196
TURUN KAKI KANAN,100,1000,144,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,208,196,218,157,121,243,159,220,204,196
