NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
PURAK PARIK 1,200,1000,144,150,150,163,133,150,150,75,229,53,245,150,150,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 1,200,1000,155,150,150,140,84,150,150,82,164,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 1,200,1000,136,150,150,219,162,150,150,143,205,90,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 1,200,1000,155,150,150,140,84,150,150,94,164,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 1,200,1000,136,150,150,219,162,150,150,143,205,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
PURAK PARIK 1,200,1000,155,150,150,140,84,150,150,94,164,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
